scope	run	transcript	task_prompt	dominant_model	requests	duration_s	start	end	input_tokens	cache_write_tokens	cache_read_tokens	output_tokens	context_tokens	tool_calls	distinct_tools	distinct_targets
main		00069859-46f6-4e22-ab7f-0091fea1e81c	<local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond to these messages or otherwise consider them in your response unless the user explicitly asks you to.</local-command-caveat>	claude-opus-5	1388	130530	2026-08-31T23:02:31.368Z	2026-09-02T11:18:01.366Z	2760	5174275	208852642	1422492	214029677	1354	12	492
main		00d3d772-9d05-48ee-a820-722cddb47997	<local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond to these messages or otherwise consider them in your response unless the user explicitly asks you to.</local-command-caveat>	claude-opus-5	295	34028	2026-08-22T00:52:41.980Z	2026-08-22T10:19:50.336Z	586	2194678	118954869	390498	121150133	300	11	178
main		0a9bf364-6a47-464a-b28a-2da915c6bac9	<local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond to these messages or otherwise consider them in your response unless the user explicitly asks you to.</local-command-caveat>	claude-opus-5	115	3587	2026-08-11T12:16:33.287Z	2026-08-11T13:16:19.869Z	229	176109	15146542	54841	15322880	128	7	95
main		0f2cc45d-3c75-4375-ba53-d2c98469b514	<local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond to these messages or otherwise consider them in your response unless the user explicitly asks you to.</local-command-caveat>	claude-opus-5	161	66962	2026-08-04T13:27:23.384Z	2026-08-05T08:03:24.955Z	299	594082	39927911	186781	40522292	169	8	140
main		1119f961-d8e4-4b3c-bf5d-27616983cf07	<local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond to these messages or otherwise consider them in your response unless the user explicitly asks you to.</local-command-caveat>	claude-opus-5	175	88557	2026-08-24T00:35:29.239Z	2026-08-25T01:11:25.950Z	342	790575	51747171	258637	52538088	171	5	83
main		12cd961c-4347-4a5e-ab32-7d2d91e98531	you are the coder here's the last message from you I stopped at a genuinely free point: I'd opened the red-suite branch but made no edits, only installed the extras. So nothing is lost, and the worktree is now the best place to resume from — all 25 failures reproduce there, where a [light]-only chec	claude-opus-5	220	113419	2026-08-30T14:04:34.759Z	2026-08-31T21:34:54.030Z	440	1094874	57111432	213044	58206746	217	8	171
main		14cb7fa7-f5a2-4a67-bfa5-1ec5fb76d749	<local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond to these messages or otherwise consider them in your response unless the user explicitly asks you to.</local-command-caveat>	claude-opus-5	212	5997	2026-08-08T04:33:17.667Z	2026-08-08T06:13:14.862Z	461	422916	53533091	199904	53956468	224	7	132
main		157eb2ae-7610-4e4b-97d8-1a978aa5a121	<local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond to these messages or otherwise consider them in your response unless the user explicitly asks you to.</local-command-caveat>	claude-opus-5	214	42615	2026-08-25T18:25:15.500Z	2026-08-26T06:15:30.433Z	424	1258235	71423584	254848	72682243	235	8	137
main		1d4fa659-1d44-44b0-b322-05cacc17bcfc	"<system-reminder> The user named this session ""coder"". This may indicate the session's focus or intent. </system-reminder>"	claude-opus-5	278	358678	2026-08-26T06:16:35.149Z	2026-08-30T09:54:33.130Z	550	2844503	98872535	339870	101717588	289	8	178
main		1f0667a9-58d3-4bd5-8180-ec3dcf84f771	<local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond to these messages or otherwise consider them in your response unless the user explicitly asks you to.</local-command-caveat>	claude-opus-5	287	40187	2026-08-25T18:25:46.266Z	2026-08-26T05:35:32.812Z	560	1288377	100373858	316650	101662795	285	6	180
main		2191977c-ae94-4a94-989a-b26713bfbadc	<local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond to these messages or otherwise consider them in your response unless the user explicitly asks you to.</local-command-caveat>	claude-opus-5	268	45586	2026-08-23T14:12:18.404Z	2026-08-24T02:52:04.529Z	528	1452195	86227461	292644	87680184	266	8	105
main		2264ef7c-48f5-4507-af17-acfbad097a0f	<local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond to these messages or otherwise consider them in your response unless the user explicitly asks you to.</local-command-caveat>	claude-opus-5	154	34072	2026-08-23T15:07:36.826Z	2026-08-24T00:35:29.234Z	300	807133	32514294	193495	33321727	147	6	91
main		23445054-1f86-4947-b7fb-480c88fb40e0	<local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond to these messages or otherwise consider them in your response unless the user explicitly asks you to.</local-command-caveat>	claude-opus-5	490	240595	2026-08-08T17:26:38.455Z	2026-08-11T12:16:33.258Z	971	1470041	173034716	300816	174505728	534	8	382
main		2701bd4b-5df3-4def-8652-da043d321828	<local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond to these messages or otherwise consider them in your response unless the user explicitly asks you to.</local-command-caveat>	claude-opus-5	129	28489	2026-08-08T09:32:20.932Z	2026-08-08T17:27:09.722Z	257	214309	20563418	110806	20777984	155	8	75
main		30c6edb4-0990-42fe-ae25-f4e9f05c4452	<local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond to these messages or otherwise consider them in your response unless the user explicitly asks you to.</local-command-caveat>	claude-opus-5	303	18732	2026-09-01T07:00:17.310Z	2026-09-01T12:12:28.989Z	602	931658	44458633	342489	45390893	324	9	219
main		3233f299-b102-4b7e-88a2-96de4f9e575d	<local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond to these messages or otherwise consider them in your response unless the user explicitly asks you to.</local-command-caveat>	claude-opus-5	118	30898	2026-08-25T09:50:48.625Z	2026-08-25T18:25:46.258Z	234	833646	24249900	160523	25083780	122	7	76
main		3395fd0f-bdb1-410e-872a-3df0371baeb6	set autocompact default valuer to 150000 (-autocompact 150000) globally	claude-opus-5	4	26	2026-08-30T15:04:02.515Z	2026-08-30T15:04:28.872Z	8	133734	320989	1564	454731	4	2	3
