scope	transcript	workflow_run	first	last	requests	dominant_model	models	input_tokens	cache_write_tokens	cache_read_tokens	output_tokens	context_tokens	sidechain_requests	full_rewrites
main	00069859-46f6-4e22-ab7f-0091fea1e81c.jso		2026-08-31T23:02:39.492000+00:00	2026-09-02T11:14:58.805000+00:00	1388	claude-opus-5	<synthetic>|claude-opus-5	2760	5174275	208852642	1422492	214029677	0	29
main	00d3d772-9d05-48ee-a820-722cddb47997.jso		2026-08-22T00:53:10.407000+00:00	2026-08-22T10:18:44.069000+00:00	295	claude-opus-5	<synthetic>|claude-opus-5	586	2194678	118954869	390498	121150133	0	4
main	0a9bf364-6a47-464a-b28a-2da915c6bac9.jso		2026-08-11T12:16:48.430000+00:00	2026-08-11T12:51:10.778000+00:00	115	claude-opus-5	claude-opus-5	229	176109	15146542	54841	15322880	0	1
main	0f2cc45d-3c75-4375-ba53-d2c98469b514.jso		2026-08-04T13:32:58.067000+00:00	2026-08-05T08:00:20.598000+00:00	161	claude-opus-5	claude-opus-5	299	594082	39927911	186781	40522292	0	2
main	1119f961-d8e4-4b3c-bf5d-27616983cf07.jso		2026-08-24T00:35:40.232000+00:00	2026-08-25T01:08:11.576000+00:00	175	claude-opus-5	<synthetic>|claude-opus-5	342	790575	51747171	258637	52538088	0	4
main	12cd961c-4347-4a5e-ab32-7d2d91e98531.jso		2026-08-30T14:04:38.880000+00:00	2026-08-31T21:34:53.584000+00:00	220	claude-opus-5	claude-opus-5	440	1094874	57111432	213044	58206746	0	4
main	14cb7fa7-f5a2-4a67-bfa5-1ec5fb76d749.jso		2026-08-08T04:33:55.923000+00:00	2026-08-08T05:55:15.458000+00:00	212	claude-opus-5	<synthetic>|claude-opus-5	461	422916	53533091	199904	53956468	0	1
main	157eb2ae-7610-4e4b-97d8-1a978aa5a121.jso		2026-08-25T18:26:16.252000+00:00	2026-08-26T06:13:49.164000+00:00	214	claude-opus-5	<synthetic>|claude-opus-5	424	1258235	71423584	254848	72682243	0	3
main	1d4fa659-1d44-44b0-b322-05cacc17bcfc.jso		2026-08-26T06:16:50.508000+00:00	2026-08-30T09:54:33.033000+00:00	278	claude-opus-5	<synthetic>|claude-opus-5	550	2844503	98872535	339870	101717588	0	6
main	1f0667a9-58d3-4bd5-8180-ec3dcf84f771.jso		2026-08-25T18:26:32.483000+00:00	2026-08-26T05:35:32.718000+00:00	287	claude-opus-5	<synthetic>|claude-opus-5	560	1288377	100373858	316650	101662795	0	3
