created_at_utc	run_id	attempt	workflow	branch	sha	event	status	conclusion	started_at_utc	updated_at_utc	duration_s	failed_jobs	failed_steps	title
2026-07-25T13:28:56Z	30159808210	1	CI	main	c9c56eb4d5fb	push	completed	success	2026-07-25T13:28:56Z	2026-07-25T13:30:08Z	72			I15: CI, packaging, and the 0.1.0 release
2026-07-27T12:29:22Z	30266108109	1	CI	main	8ef1bae48e79	push	completed	failure	2026-07-27T12:29:22Z	2026-07-27T12:30:33Z	71	check	check::Format	Merge graph-integration research: 15 docs and a reviewed approach
2026-07-27T12:32:14Z	30266309432	1	CI	main	bfb74954ec64	push	completed	success	2026-07-27T12:32:14Z	2026-07-27T12:33:32Z	78			Fix red main: ruff-format the Python block in hipporag.md
2026-07-27T12:44:11Z	30267143897	1	CI	main	3eff2125d86a	push	completed	success	2026-07-27T12:44:11Z	2026-07-27T12:45:18Z	67			Close out plans/v0.1.md, and ship the free-path gate it promised
2026-07-27T12:44:22Z	30267156830	1	Release	v0.1.1	3eff2125d86a	push	completed	success	2026-07-27T12:44:22Z	2026-07-27T12:44:38Z	16			Close out plans/v0.1.md, and ship the free-path gate it promised
2026-07-27T12:47:51Z	30267405658	1	Release	v0.1.2	18da114c7cf9	push	completed	success	2026-07-27T12:47:51Z	2026-07-27T12:48:05Z	14			Release
2026-07-27T12:48:12Z	30267431074	1	CI	main	18da114c7cf9	push	completed	success	2026-07-27T12:48:12Z	2026-07-27T12:49:33Z	81			README told four things that were not true; fix them
2026-07-27T12:52:05Z	30267700705	1	Release	v0.1.3	8f633c87c64c	push	completed	success	2026-07-27T12:52:05Z	2026-07-27T12:52:21Z	16			Release
2026-07-27T12:52:19Z	30267717509	1	CI	main	8f633c87c64c	push	completed	success	2026-07-27T12:52:19Z	2026-07-27T12:53:31Z	72			Record this session's findings where they will change behaviour
2026-07-27T19:20:07Z	30297786220	1	CI	main	e7c44fb640fa	push	completed	success	2026-07-27T19:20:07Z	2026-07-27T19:21:26Z	79			plans/v0.2.md: fix adversarial pass 4 (19 HIGH, 39 MEDIUM, 23 LOW)
2026-07-27T19:21:43Z	30297900278	1	CI	main	edaf18cc707a	push	completed	success	2026-07-27T19:21:43Z	2026-07-27T19:23:01Z	78			Release 0.1.4: the reviewed v0.2 build order
2026-07-27T19:21:48Z	30297906774	1	Release	v0.1.4	edaf18cc707a	push	completed	success	2026-07-27T19:21:48Z	2026-07-27T19:22:06Z	18			Release 0.1.4: the reviewed v0.2 build order
2026-07-27T20:31:11Z	30302920546	1	CI	main	3ed2f9e3310a	push	completed	success	2026-07-27T20:31:11Z	2026-07-27T20:32:28Z	77			I1 retrospective: untested marker predicates, a doctor probe path bug…
2026-07-27T21:46:53Z	30308245489	1	CI	main	9d632d20c81e	push	completed	failure	2026-07-27T21:46:53Z	2026-07-27T21:48:06Z	73	check (light pdf claude)	check (light pdf claude)::Tests	I2 retrospective: a gate that could not fire, and two wrong ground tr…
2026-07-27T22:55:35Z	30312425181	1	CI	main	760a80f986ea	push	completed	failure	2026-07-27T22:55:35Z	2026-07-27T22:56:59Z	84	check (light pdf claude)	check (light pdf claude)::Tests	Merge I3a: extraction core, pure -- character stream to ordered, de-f…
2026-07-28T01:10:26Z	30319496352	1	CI	main	89d4fb5e4d95	push	completed	failure	2026-07-28T01:10:26Z	2026-07-28T01:11:33Z	67	check (light pdf)	check (light pdf)::Tests	Merge I3b: pypdfium2 adapter, extraction-quality metrics, and the two…
2026-07-28T06:42:20Z	30335702607	1	CI	main	676d86ffe007	push	completed	success	2026-07-28T06:42:20Z	2026-07-28T06:43:29Z	69			Merge: fix cross-platform scanned-fixture rendering (embed a real font)
2026-07-28T08:30:02Z	30342627414	1	CI	main	8a6e0ff6d025	push	completed	success	2026-07-28T08:30:02Z	2026-07-28T08:31:24Z	82			Merge I4: the extraction cache
2026-07-28T12:08:30Z	30357665607	1	CI	main	0cc08273c93b	push	completed	success	2026-07-28T12:08:30Z	2026-07-28T12:09:41Z	71			Merge: release 0.2.0
2026-07-28T12:08:42Z	30357679268	1	Release	v0.2.0	0cc08273c93b	push	completed	success	2026-07-28T12:08:42Z	2026-07-28T12:08:55Z	13			Merge: release 0.2.0
2026-07-28T14:55:09Z	30370758072	1	CI	main	d1dd166006cf	push	completed	success	2026-07-28T14:55:09Z	2026-07-28T14:56:20Z	71			Merge: docs restructure and release 0.2.1
2026-07-28T14:55:18Z	30370771441	1	Release	v0.2.1	d1dd166006cf	push	completed	success	2026-07-28T14:55:18Z	2026-07-28T14:55:47Z	29			Merge: docs restructure and release 0.2.1
2026-07-28T15:48:40Z	30375188745	1	CI	main	334176fde1de	push	completed	success	2026-07-28T15:48:40Z	2026-07-28T15:50:11Z	91			Merge I6a: budget core, pure, plus its own retrospective fixes
2026-07-28T15:59:56Z	30376108588	1	CI	main	6bdb9df2d384	push	completed	success	2026-07-28T15:59:56Z	2026-07-28T16:01:19Z	83			Merge: docs describe I6a, and the shipped-vs-merged distinction
2026-07-28T16:43:38Z	30379600024	1	CI	main	bc960c35aa5f	push	completed	success	2026-07-28T16:43:38Z	2026-07-28T16:44:53Z	75			Merge: design note for updating an existing KB
2026-07-28T16:51:08Z	30380182981	1	CI	main	f9f443497cee	push	completed	success	2026-07-28T16:51:08Z	2026-07-28T16:52:15Z	67			Release 0.2.2
2026-07-28T16:51:09Z	30380184541	2	Release	v0.2.2	f9f443497cee	push	completed	success	2026-07-28T17:16:25Z	2026-07-28T17:16:57Z	32			Release 0.2.2
2026-07-28T17:31:12Z	30383249642	1	CI	main	8752d78222c5	push	completed	success	2026-07-28T17:31:12Z	2026-07-28T17:44:35Z	803			Merge I7a: the paid-path allowlist gate, plus two review passes
2026-07-28T21:35:58Z	30401323109	1	CI	main	d72e59e11685	push	completed	success	2026-07-28T21:35:58Z	2026-07-28T21:37:13Z	75			Merge I6b: budget I/O — the ledger, `pnk budget`, hooks that cannot s…
2026-07-28T21:39:41Z	30401568989	1	CI	main	c441e8996bec	push	completed	success	2026-07-28T21:39:41Z	2026-07-28T21:40:58Z	77			CLAUDE.md: promote I6b's two ledger invariants
2026-07-28T21:43:50Z	30401841987	1	CI	main	7008391c4c74	push	completed	success	2026-07-28T21:43:50Z	2026-07-28T21:45:01Z	71			STATUS: re-argue the release hold on a premise that is still true
2026-07-28T22:19:02Z	30404094411	1	CI	main	83c838dc4dad	push	completed	success	2026-07-28T22:19:02Z	2026-07-28T22:20:13Z	71			Merge: unbuilt work is named, never numbered
