sha	iso	subject	src	tests	tools	ci	docs	plans	frag	claudemd	changelog	files
cc92c09bb525	2026-09-04T11:35:49+01:00	Row 42: what the review fan-out actually caught, counted	0	0	0	0	0	0	34	0	0	1
366eb5836351	2026-09-04T11:34:10+01:00	Row 42 review 3: the path filter was silent for the failure the tool names	0	0	0	95	0	0	3	0	0	2
63c75eeaa4a5	2026-09-04T11:32:21+01:00	Row 42: the prediction set, written down before the run	0	0	0	0	0	0	34	0	0	1
d481ba2dbc27	2026-09-04T11:31:41+01:00	Row 42's cell, dictated by the coder and pasted unchanged	0	0	0	0	0	2	0	0	0	1
9152cd80e298	2026-09-04T11:29:21+01:00	Row 42 fragments: one changelog entry and one retrospective	0	0	0	0	0	0	112	0	0	2
363800d89b38	2026-09-04T11:28:27+01:00	Handover and evidence for the paused development	0	0	0	0	1	180	0	8	0	3
ff6a108173d7	2026-09-04T11:27:32+01:00	Row 42 review 2: the audit's own test file joined the population it measures	0	302	81	0	4	0	0	0	0	3
d36d21992be6	2026-09-04T11:21:55+01:00	Development is paused pending a review of the process itself	0	0	0	0	0	0	0	22	0	1
3e02b10af698	2026-09-04T11:13:28+01:00	Row 42 review: the test file left a fake in the global `subprocess` module	0	125	0	0	0	0	0	0	0	1
09e4bf808601	2026-09-04T11:11:07+01:00	Row 42: run the injection audit on Linux, which is the half macOS cannot do	0	0	0	98	2	0	0	0	0	2
a073658f2774	2026-09-04T11:08:51+01:00	Row 42: the audit could not name the interpreter or platform it ran on	0	249	89	0	0	0	0	0	0	2
2e5defe70b42	2026-09-04T11:00:37+01:00	Row 42's assertion said the opposite of the clause beside it	0	0	0	0	0	2	0	0	0	1
abb4745f36c8	2026-09-04T10:57:10+01:00	Four landed rows still read open, and a fresh coder proposed one	0	0	0	0	0	8	0	0	0	1
e77819d30ad7	2026-09-04T10:52:14+01:00	A correction a thousand characters after the number it corrects	0	0	0	0	0	2	0	0	0	1
b8ccd8c58ea3	2026-09-04T10:44:18+01:00	Row 43: repair the battery anchor my own change rotted	0	0	7	0	0	0	0	0	0	1
6d768853b021	2026-09-04T10:38:22+01:00	Row 43: two pathlib holdouts converted, as hygiene — not as a fix	41	86	0	0	0	0	38	0	0	5
57121382245b	2026-09-04T10:31:51+01:00	Row 43 retracted: zero live defects, not two, and the ranking was mine	0	0	0	0	0	4	0	0	0	1
4636100f6fc1	2026-09-04T10:21:01+01:00	Row 36 delivered: the class is real and much smaller than the ceiling	0	0	0	0	0	5	0	0	0	1
5e97a4f7577f	2026-09-04T10:16:42+01:00	A grep for the defect matched the comments warning against it	0	0	0	0	0	4	0	0	0	1
032fb4137cb0	2026-09-04T10:10:36+01:00	0.32.5 is on the index, and a rule whose noun was too narrow	0	0	0	0	38	5	0	0	0	4
