path	stream	added	deleted	hours
changelog.d/added-shared-file-contention-tooling.md	changelog	2026-07-29T04:07:07+02:00	2026-07-29T04:20:24+02:00	0.22
retro.d/shared-file-contention-tooling.md	retro	2026-07-29T04:07:07+02:00	2026-07-29T04:20:24+02:00	0.22
changelog.d/changed-links-and-graph-plan-pass-2.md	changelog	2026-07-29T04:12:07+02:00	2026-07-29T04:20:24+02:00	0.14
retro.d/eval-multi-hop-scoring.md	retro	2026-07-29T04:12:07+02:00	2026-07-29T04:20:24+02:00	0.14
changelog.d/fixed-docs-readme-fragment-routing.md	changelog	2026-07-29T04:25:52+02:00	2026-07-29T05:33:28+02:00	1.13
changelog.d/changed-links-and-graph-plan-pass-3.md	changelog	2026-07-29T04:32:51+02:00	2026-07-29T05:33:28+02:00	1.01
changelog.d/changed-links-and-graph-plan-pass-4.md	changelog	2026-07-29T04:51:35+02:00	2026-07-29T05:33:28+02:00	0.70
changelog.d/added-page-citations-on-both-surfaces.md	changelog	2026-07-29T04:58:16+02:00	2026-07-29T05:33:28+02:00	0.59
changelog.d/fixed-stale-claims-and-a-pdf-get-crash.md	changelog	2026-07-29T04:58:16+02:00	2026-07-29T05:33:28+02:00	0.59
retro.d/i8-page-citations.md	retro	2026-07-29T04:58:16+02:00	2026-07-29T05:33:28+02:00	0.59
changelog.d/fixed-doctor-crash-on-an-unknown-backend.md	changelog	2026-07-29T05:05:09+02:00	2026-07-29T05:33:28+02:00	0.47
changelog.d/changed-links-and-graph-plan-pass-5.md	changelog	2026-07-29T05:09:21+02:00	2026-07-29T05:33:28+02:00	0.40
changelog.d/fixed-post-release-doc-staleness.md	changelog	2026-07-29T05:25:28+02:00	2026-07-29T05:33:28+02:00	0.13
changelog.d/added-audit-the-neighbourhood-rule.md	changelog	2026-07-29T05:28:09+02:00	2026-07-29T05:33:28+02:00	0.09
changelog.d/added-verification-table-with-a-gate.md	changelog	2026-07-29T05:28:44+02:00	2026-07-29T05:33:28+02:00	0.08
changelog.d/fixed-untested-doctor-checks-and-stale-design-notes.md	changelog	2026-07-29T05:28:44+02:00	2026-07-29T05:33:28+02:00	0.08
retro.d/i9-verification-audit.md	retro	2026-07-29T05:28:44+02:00	2026-07-29T05:33:28+02:00	0.08
changelog.d/fixed-0-4-0-post-release-sweep.md	changelog	2026-07-29T05:41:12+02:00	2026-07-29T07:49:41+02:00	2.14
changelog.d/changed-links-and-graph-plan-pass-6.md	changelog	2026-07-29T05:44:11+02:00	2026-07-29T07:49:41+02:00	2.09
changelog.d/changed-links-and-graph-plan-pass-7.md	changelog	2026-07-29T06:05:48+02:00	2026-07-29T07:49:41+02:00	1.73
changelog.d/fixed-sidecar-overwritten-on-parse-failure.md	changelog	2026-07-29T07:28:19+02:00	2026-07-29T07:49:41+02:00	0.36
retro.d/sidecar-overwritten-on-parse-failure.md	retro	2026-07-29T07:28:19+02:00	2026-07-29T07:49:41+02:00	0.36
changelog.d/added-partner-corpus-and-link-density-gate.md	changelog	2026-07-29T08:25:27+02:00	2026-07-31T11:29:53+02:00	51.07
retro.d/l1-partner-corpus-and-density-gate.md	retro	2026-07-29T08:48:04+02:00	2026-07-31T11:29:53+02:00	50.70
changelog.d/added-reverse-scan.md	changelog	2026-07-30T16:38:18+02:00	2026-07-31T11:29:53+02:00	18.86
retro.d/l2-reverse-scan.md	retro	2026-07-30T16:52:46+02:00	2026-07-31T11:29:53+02:00	18.62
changelog.d/added-traversal-core.md	changelog	2026-07-30T17:45:49+02:00	2026-07-31T11:29:53+02:00	17.73
changelog.d/added-pnk-links.md	changelog	2026-07-30T17:57:37+02:00	2026-07-31T11:29:53+02:00	17.54
retro.d/l3-l4-traversal.md	retro	2026-07-30T18:07:40+02:00	2026-07-31T11:29:53+02:00	17.37
changelog.d/added-pinakes-links-tool.md	changelog	2026-07-31T05:09:47+02:00	2026-07-31T11:29:53+02:00	6.33
retro.d/l5-direction-and-the-shared-projection.md	retro	2026-07-31T05:34:31+02:00	2026-07-31T11:29:53+02:00	5.92
changelog.d/changed-ruamel-yaml-sidecar.md	changelog	2026-07-31T11:26:37+02:00	2026-07-31T11:29:53+02:00	0.05
retro.d/l5b-the-library-swap.md	retro	2026-07-31T11:26:37+02:00	2026-07-31T11:29:53+02:00	0.05
changelog.d/fixed-two-frozen-yaml-behaviours.md	changelog	2026-07-31T11:56:26+02:00	2026-08-01T10:53:56+02:00	22.96
changelog.d/added-pnk-link.md	changelog	2026-07-31T12:44:21+02:00	2026-08-01T10:53:56+02:00	22.16
retro.d/l6-pnk-link.md	retro	2026-07-31T13:08:40+02:00	2026-08-01T10:53:56+02:00	21.75
changelog.d/fixed-eval-reproducibility.md	changelog	2026-08-01T01:30:44+02:00	2026-08-01T10:53:56+02:00	9.39
retro.d/g1-eval-reproducibility.md	retro	2026-08-01T01:30:44+02:00	2026-08-01T10:53:56+02:00	9.39
changelog.d/added-requires-pinakes.md	changelog	2026-08-01T01:36:59+02:00	2026-08-01T10:53:56+02:00	9.28
changelog.d/changed-doctor-link-checks.md	changelog	2026-08-01T04:39:34+02:00	2026-08-01T10:53:56+02:00	6.24
retro.d/l7-doctor-links.md	retro	2026-08-01T04:58:01+02:00	2026-08-01T10:53:56+02:00	5.93
changelog.d/fixed-ci-portability.md	changelog	2026-08-01T05:21:46+02:00	2026-08-01T10:53:56+02:00	5.54
retro.d/ci-portability-of-permission-fixtures.md	retro	2026-08-01T05:21:46+02:00	2026-08-01T10:53:56+02:00	5.54
changelog.d/changed-unsynced-doctor-names-the-link-checks.md	changelog	2026-08-01T05:41:36+02:00	2026-08-01T10:53:56+02:00	5.21
changelog.d/added-per-question-outcomes.md	changelog	2026-08-01T12:15:56+02:00	2026-08-01T12:42:23+02:00	0.44
changelog.d/changed-eval-kind-and-empty-set.md	changelog	2026-08-01T12:15:56+02:00	2026-08-01T12:42:23+02:00	0.44
retro.d/g2-headroom-measurement.md	retro	2026-08-01T12:15:56+02:00	2026-08-01T12:42:23+02:00	0.44
changelog.d/fixed-source-walk-containment.md	changelog	2026-08-01T13:28:46+02:00	2026-08-01T13:44:13+02:00	0.26
retro.d/source-walk-containment.md	retro	2026-08-01T13:28:46+02:00	2026-08-01T13:44:13+02:00	0.26
changelog.d/fixed-stale-release-claims.md	changelog	2026-08-03T22:32:37+02:00		
changelog.d/added-status-header-gate.md	changelog	2026-08-03T22:43:29+02:00		
changelog.d/changed-per-operation-budget-default.md	changelog	2026-08-03T23:01:42+02:00		
changelog.d/fixed-docs-audit-high.md	changelog	2026-08-04T04:19:32+02:00		
changelog.d/fixed-verification-covers-071.md	changelog	2026-08-04T04:23:43+02:00		
changelog.d/fixed-docs-audit-medium.md	changelog	2026-08-04T04:26:43+02:00		
changelog.d/fixed-probe-absorbs-malformed-questions.md	changelog	2026-08-04T07:01:59+02:00		
retro.d/probe-absorbs-malformed-questions.md	retro	2026-08-04T07:01:59+02:00		
changelog.d/20260804_0800-changed-paid-key-is-pinakes-specific.md	changelog	2026-08-04T08:26:05+02:00	2026-08-04T08:41:29+02:00	0.26
changelog.d/20260804_1125-added-probe-edge-census.md	changelog	2026-08-04T11:27:26+02:00	2026-08-04T14:32:30+02:00	3.08
retro.d/20260804_1125-probe-edge-census.md	retro	2026-08-04T11:27:26+02:00	2026-08-04T14:32:30+02:00	3.08
changelog.d/20260804_1155-added-docs-site.md	changelog	2026-08-04T14:03:49+02:00	2026-08-04T14:32:30+02:00	0.48
retro.d/20260804_1155-docs-site.md	retro	2026-08-04T14:03:49+02:00	2026-08-04T14:32:30+02:00	0.48
changelog.d/20260804_1210-changed-project-name-casing.md	changelog	2026-08-04T14:12:06+02:00	2026-08-04T14:32:30+02:00	0.34
retro.d/20260804_1240-rename-broke-trusted-publishing.md	retro	2026-08-04T14:37:15+02:00	2026-08-04T15:38:40+02:00	1.02
changelog.d/20260804_1246-added-sync-progress-on-a-tty.md	changelog	2026-08-04T14:49:00+02:00	2026-08-04T15:38:40+02:00	0.83
changelog.d/20260804_1246-fixed-doctor-interrupted-sync-remedy.md	changelog	2026-08-04T14:49:00+02:00	2026-08-04T15:38:40+02:00	0.83
changelog.d/20260804_1246-fixed-sync-timestamps-utc.md	changelog	2026-08-04T14:49:00+02:00	2026-08-04T15:38:40+02:00	0.83
retro.d/20260804_1246-interrupted-sync.md	retro	2026-08-04T14:49:00+02:00	2026-08-04T15:38:40+02:00	0.83
retro.d/20260804_1330-progress-printer-early-stop.md	retro	2026-08-04T15:07:00+02:00		
changelog.d/20260804_1310-fixed-guide-install-and-lock.md	changelog	2026-08-04T15:11:35+02:00	2026-08-04T15:38:40+02:00	0.45
retro.d/20260804_1330-check-sh-is-venv-dependent.md	retro	2026-08-04T15:33:07+02:00	2026-08-04T15:38:40+02:00	0.09
changelog.d/20260804_1342-added-roadmap-doc.md	changelog	2026-08-04T15:43:28+02:00	2026-08-05T09:17:34+02:00	17.57
changelog.d/20260804_1613-added-landing-guard.md	changelog	2026-08-04T18:14:58+02:00	2026-08-05T09:17:34+02:00	15.04
changelog.d/20260804_1618-added-land-cleanup-only.md	changelog	2026-08-04T18:18:25+02:00	2026-08-05T09:17:34+02:00	14.99
changelog.d/20260804_1607-added-node-model-and-edge-set.md	changelog	2026-08-04T18:32:33+02:00	2026-08-05T09:17:34+02:00	14.75
retro.d/20260804_1630-g3-node-model-and-edges.md	retro	2026-08-04T18:36:42+02:00	2026-08-05T09:17:34+02:00	14.68
retro.d/20260804_2105-g5-parent-child-ceiling.md	retro	2026-08-04T23:06:34+02:00	2026-08-05T09:17:34+02:00	10.18
changelog.d/20260804_2140-added-expansion-channel.md	changelog	2026-08-04T23:24:22+02:00	2026-08-05T09:17:34+02:00	9.89
retro.d/20260804_2135-g5-expansion-channel.md	retro	2026-08-04T23:32:37+02:00	2026-08-05T09:17:34+02:00	9.75
retro.d/20260804_2230-g5-roots-and-the-fanout-budget.md	retro	2026-08-05T00:32:24+02:00	2026-08-05T09:17:34+02:00	8.75
retro.d/20260804_2252-g5-the-gate-result.md	retro	2026-08-05T01:50:03+02:00	2026-08-05T09:17:34+02:00	7.46
changelog.d/20260805_0549-added-edge-hub-reporting.md	changelog	2026-08-05T07:50:44+02:00	2026-08-05T09:17:34+02:00	1.45
retro.d/20260805_0620-g6-edge-hub-reporting.md	retro	2026-08-05T08:03:21+02:00	2026-08-05T09:17:34+02:00	1.24
changelog.d/20260805_0740-fixed-backend-missing-error-names-alternative.md	changelog	2026-08-05T09:43:30+02:00	2026-08-05T20:08:42+02:00	10.42
retro.d/20260805_0741-light-backend-error-alternative.md	retro	2026-08-05T09:43:30+02:00	2026-08-05T20:08:42+02:00	10.42
changelog.d/20260805_0748-added-heading-coverage-check.md	changelog	2026-08-05T09:50:24+02:00	2026-08-05T20:08:42+02:00	10.30
retro.d/20260805_0748-heading-coverage-check.md	retro	2026-08-05T09:50:24+02:00	2026-08-05T20:08:42+02:00	10.30
changelog.d/20260805_0755-added-measure-sync-cpu-tool.md	changelog	2026-08-05T09:57:18+02:00	2026-08-05T20:08:42+02:00	10.19
retro.d/20260805_0806-i5-doctor-home-directory-leak.md	retro	2026-08-05T10:09:13+02:00	2026-08-05T20:08:42+02:00	9.99
changelog.d/20260805_0758-fixed-doctor-home-directory-leak.md	changelog	2026-08-05T10:09:13+02:00	2026-08-05T20:08:42+02:00	9.99
retro.d/20260805_1737-measure-sync-cpu-watched-the-launcher.md	retro	2026-08-05T19:39:52+02:00	2026-08-05T20:08:42+02:00	0.48
changelog.d/20260805_1749-fixed-fixture-copies-exclude-pinakes-state.md	changelog	2026-08-05T19:51:33+02:00	2026-08-05T20:08:42+02:00	0.29
retro.d/20260805_1749-fixture-copies-carried-developer-state.md	retro	2026-08-05T19:51:33+02:00	2026-08-05T20:08:42+02:00	0.29
retro.d/20260805_1755-exact-comparison-between-two-roundings.md	retro	2026-08-05T19:56:52+02:00	2026-08-05T20:08:42+02:00	0.20
changelog.d/20260805_1907-added-numbered-heading-grammar.md	changelog	2026-08-05T21:17:59+02:00	2026-08-05T23:04:09+02:00	1.77
retro.d/20260805_1907-a-guard-that-could-not-fire.md	retro	2026-08-05T21:17:59+02:00	2026-08-05T23:04:09+02:00	1.77
changelog.d/20260805_2020-fixed-chunking-edit-silently-ignored.md	changelog	2026-08-05T22:26:08+02:00	2026-08-05T23:04:09+02:00	0.63
retro.d/20260805_2020-a-warning-that-cleared-itself.md	retro	2026-08-05T22:26:08+02:00	2026-08-05T23:04:09+02:00	0.63
changelog.d/20260805_2100-added-rfc-corpus-tool.md	changelog	2026-08-05T23:00:29+02:00	2026-08-05T23:04:09+02:00	0.06
changelog.d/20260805_2100-changed-numbered-heading-predicate-measured.md	changelog	2026-08-05T23:00:29+02:00	2026-08-05T23:04:09+02:00	0.06
retro.d/20260805_2100-two-discriminators-rejected-on-evidence.md	retro	2026-08-05T23:00:29+02:00	2026-08-05T23:04:09+02:00	0.06
changelog.d/20260805_2156-fixed-heading-coverage-warns-only-for-markdown.md	changelog	2026-08-05T23:59:33+02:00	2026-08-06T00:24:06+02:00	0.41
retro.d/20260805_2156-the-sync-cpu-answer-and-its-instrument.md	retro	2026-08-05T23:59:33+02:00	2026-08-06T00:24:06+02:00	0.41
changelog.d/20260805_2211-changed-init-adopts-an-existing-directory.md	changelog	2026-08-06T00:15:10+02:00	2026-08-06T00:24:06+02:00	0.15
retro.d/20260805_2211-removing-a-guard-exposed-what-it-was-guarding.md	retro	2026-08-06T00:15:10+02:00	2026-08-06T00:24:06+02:00	0.15
changelog.d/20260805_2218-added-doctor-titles-check.md	changelog	2026-08-06T00:21:39+02:00	2026-08-06T00:24:06+02:00	0.04
changelog.d/20260805_2230-added-markdown-h1-becomes-the-title.md	changelog	2026-08-06T00:42:46+02:00	2026-08-06T00:50:20+02:00	0.13
changelog.d/20260806_0000-changed-claudemd-slimmed.md	changelog	2026-08-06T02:35:40+02:00	2026-08-06T02:56:19+02:00	0.34
retro.d/20260806_0033-claudemd-slim-pointer-sweep.md	retro	2026-08-06T02:35:59+02:00	2026-08-06T02:56:19+02:00	0.34
changelog.d/20260806_0044-fixed-utc-timestamps-everywhere.md	changelog	2026-08-06T02:44:46+02:00	2026-08-06T02:56:19+02:00	0.19
retro.d/20260806_0405-injection-experiment-premise-was-inferred.md	retro	2026-08-06T07:41:56+02:00	2026-08-07T13:51:27+02:00	30.16
changelog.d/20260806_0612-changed-rfc-corpus-titles-and-reserve.md	changelog	2026-08-06T08:15:44+02:00	2026-08-07T13:51:27+02:00	29.60
retro.d/20260806_0612-i2a-rfc-corpus-titles-and-reserve.md	retro	2026-08-06T08:15:44+02:00	2026-08-07T13:51:27+02:00	29.60
changelog.d/20260806_0824-added-metadata-prefix-refusal.md	changelog	2026-08-06T10:26:30+02:00	2026-08-07T13:51:27+02:00	27.42
retro.d/20260806_0824-i2b-prefix-refusal.md	retro	2026-08-06T10:26:30+02:00	2026-08-07T13:51:27+02:00	27.42
changelog.d/20260806_1142-added-rfc-golden-set.md	changelog	2026-08-06T13:47:02+02:00	2026-08-07T13:51:27+02:00	24.07
retro.d/20260806_1142-i2c-rfc-golden-set.md	retro	2026-08-06T13:47:02+02:00	2026-08-07T13:51:27+02:00	24.07
changelog.d/20260806_1153-fixed-outcomes-header-chunking.md	changelog	2026-08-06T13:55:44+02:00	2026-08-07T13:51:27+02:00	23.93
changelog.d/20260807_0815-added-chunking-metadata-injection.md	changelog	2026-08-07T10:16:17+02:00	2026-08-07T13:51:27+02:00	3.59
changelog.d/20260807_0816-added-two-leg-gate.md	changelog	2026-08-07T10:16:17+02:00	2026-08-07T13:51:27+02:00	3.59
changelog.d/20260807_0817-fixed-stale-docstrings.md	changelog	2026-08-07T10:16:17+02:00	2026-08-07T13:51:27+02:00	3.59
retro.d/20260807_0907-i2d-metadata-injection-screen.md	retro	2026-08-07T11:09:09+02:00	2026-08-07T13:51:27+02:00	2.71
changelog.d/20260807_0954-fixed-rebuild-half-injected-index.md	changelog	2026-08-07T11:56:37+02:00	2026-08-07T13:51:27+02:00	1.91
retro.d/20260807_0954-i2d-review-half-injected-index.md	retro	2026-08-07T11:56:37+02:00	2026-08-07T13:51:27+02:00	1.91
changelog.d/20260807_1034-fixed-injection-silence-on-existing-indexes.md	changelog	2026-08-07T12:37:10+02:00	2026-08-07T13:51:27+02:00	1.24
retro.d/20260807_1034-i2d-review-round-two.md	retro	2026-08-07T12:37:10+02:00	2026-08-07T13:51:27+02:00	1.24
changelog.d/20260807_1929-added-template-version-archive.md	changelog	2026-08-07T21:31:04+02:00	2026-08-07T23:19:43+02:00	1.81
retro.d/20260807_1936-t1-version-archive.md	retro	2026-08-07T21:38:32+02:00	2026-08-07T23:19:43+02:00	1.69
changelog.d/20260807_2145-fixed-env-example-key-name.md	changelog	2026-08-07T23:47:38+02:00	2026-08-08T00:42:24+02:00	0.91
changelog.d/20260807_2228-changed-doctor-reports-template-drift-as-a-diff.md	changelog	2026-08-08T00:28:22+02:00	2026-08-08T00:42:24+02:00	0.23
retro.d/20260807_2228-t2-doctor-template-drift-diff.md	retro	2026-08-08T00:28:22+02:00	2026-08-08T00:42:24+02:00	0.23
changelog.d/20260808_0947-added-pnk-templates.md	changelog	2026-08-08T11:48:31+02:00	2026-08-08T12:22:59+02:00	0.57
changelog.d/20260808_0947-added-template-declares-its-files.md	changelog	2026-08-08T11:48:31+02:00	2026-08-08T12:22:59+02:00	0.57
changelog.d/20260808_0954-fixed-templates-damaged-install.md	changelog	2026-08-08T11:55:16+02:00	2026-08-08T12:22:59+02:00	0.46
retro.d/20260808_0954-t7-templates.md	retro	2026-08-08T11:55:16+02:00	2026-08-08T12:22:59+02:00	0.46
changelog.d/20260808_1000-fixed-files-in-drift-hash.md	changelog	2026-08-08T12:03:52+02:00	2026-08-08T12:22:59+02:00	0.32
changelog.d/20260808_1818-fixed-damaged-template-is-a-message.md	changelog	2026-08-08T20:21:44+02:00	2026-08-10T03:55:46+02:00	31.57
changelog.d/20260808_1818-fixed-graph-gate-blind-to-chunking.md	changelog	2026-08-08T20:21:44+02:00	2026-08-10T03:55:46+02:00	31.57
retro.d/20260810_0129-a-guard-can-route-a-failure-into-a-wrong-message.md	retro	2026-08-10T03:30:12+02:00	2026-08-10T03:55:46+02:00	0.43
changelog.d/20260811_0731-fixed-init-validates-before-writing.md	changelog	2026-08-11T09:31:29+02:00	2026-08-11T10:30:44+02:00	0.99
changelog.d/20260811_0743-fixed-apply-restamps-on-same-manifest.md	changelog	2026-08-11T09:43:46+02:00	2026-08-11T10:30:44+02:00	0.78
