transcript	session_token	occurrences	is_most_frequent
00069859-46f6-4e22-ab7f-0091fea1e81c	014WF6yZX6zM15eSdEXNyXat	46	yes
00069859-46f6-4e22-ab7f-0091fea1e81c	016ereZDgQSaep4kFQWHxPqP	33	no
00d3d772-9d05-48ee-a820-722cddb47997	01FzVuaMW4F56HAiSJA5ri5x	10	yes
0f2cc45d-3c75-4375-ba53-d2c98469b514	0144s4uAokKvRKEKznumnEuQ	5	yes
1119f961-d8e4-4b3c-bf5d-27616983cf07	01W2fDFsLknENRhbGMmDWQjN	33	yes
1119f961-d8e4-4b3c-bf5d-27616983cf07	01EcvjXkXhfd2WLGEYtG32Qb	3	no
1119f961-d8e4-4b3c-bf5d-27616983cf07	01SyE2fe3x48uUGJqro24RL2	3	no
1119f961-d8e4-4b3c-bf5d-27616983cf07	011hW4wSM3itJsaeuRjqBzJZ	3	no
1119f961-d8e4-4b3c-bf5d-27616983cf07	01DPFMBoDvkDGSRwsqd16ETS	2	no
1119f961-d8e4-4b3c-bf5d-27616983cf07	01FXRpk6KWV6q8iV6hxYPMgv	2	no
1119f961-d8e4-4b3c-bf5d-27616983cf07	013aTJrHMKqsyXpUw4jV7vyF	2	no
1119f961-d8e4-4b3c-bf5d-27616983cf07	01NegxgK9foV7v3zyP3sBQbk	2	no
1119f961-d8e4-4b3c-bf5d-27616983cf07	01XkqWSkt4NLe6aYnKPy4pxN	2	no
1119f961-d8e4-4b3c-bf5d-27616983cf07	01VTzC7M9qfk5ndmQahM8yFd	2	no
1119f961-d8e4-4b3c-bf5d-27616983cf07	01TEnAme9YcVCvZZeqvpK7BR	2	no
1119f961-d8e4-4b3c-bf5d-27616983cf07	01EmoK1PePuBP3NVBEyRQVTL	2	no
1119f961-d8e4-4b3c-bf5d-27616983cf07	01LMs35qhEqTFgnURG5Bn6BT	2	no
1119f961-d8e4-4b3c-bf5d-27616983cf07	01FzVuaMW4F56HAiSJA5ri5x	2	no
1119f961-d8e4-4b3c-bf5d-27616983cf07	01TdqPhSFchzRhXNXVgsgVjJ	2	no
1119f961-d8e4-4b3c-bf5d-27616983cf07	0118KhKq94912PRjnCVNvD9p	2	no
12cd961c-4347-4a5e-ab32-7d2d91e98531	01AgfqBWvXrcNifP1bEokCyY	11	yes
157eb2ae-7610-4e4b-97d8-1a978aa5a121	015PErs1nSFzuHurQ9xWXbVx	16	yes
2191977c-ae94-4a94-989a-b26713bfbadc	01VTzC7M9qfk5ndmQahM8yFd	8	yes
2191977c-ae94-4a94-989a-b26713bfbadc	01FzVuaMW4F56HAiSJA5ri5x	4	no
2264ef7c-48f5-4507-af17-acfbad097a0f	01W2fDFsLknENRhbGMmDWQjN	15	yes
23445054-1f86-4947-b7fb-480c88fb40e0	013aTJrHMKqsyXpUw4jV7vyF	27	yes
30c6edb4-0990-42fe-ae25-f4e9f05c4452	01M79dQWiV8dhhBeH4U55Cxv	6	yes
3a92d7e3-8214-484a-8e79-939d6c5acbc1	01GYVF6TGjjdq9fXrDqDfsyY	3	yes
43397725-81eb-46cc-8c3e-9c8cf72f4852	0133n5R7YWKpiUprSEUzhGYM	6	yes
43397725-81eb-46cc-8c3e-9c8cf72f4852	01DTJFpc5Shs4BRPREuChkNX	2	no
48660064-700d-444a-969c-abf4940b6156	01VTzC7M9qfk5ndmQahM8yFd	12	yes
4f60228b-66c3-48a8-b0eb-f4614e1f973a	01ShN5cQhJgd2w1X5m6EPxkH	3	yes
512b78f5-af21-4e7e-a1d9-ad9f9da873d1	01FzVuaMW4F56HAiSJA5ri5x	14	yes
602bb9ff-14cf-4d93-987b-6fc2af30d750	016C4N1CceCLqFh998H6VmnQ	73	yes
602bb9ff-14cf-4d93-987b-6fc2af30d750	01M79dQWiV8dhhBeH4U55Cxv	9	no
602bb9ff-14cf-4d93-987b-6fc2af30d750	014WF6yZX6zM15eSdEXNyXat	9	no
66446a32-06f7-4b62-9be5-14d0c43a5abf	01LMs35qhEqTFgnURG5Bn6BT	2	yes
70b3804d-b888-406f-af90-be016d44c266	0118KhKq94912PRjnCVNvD9p	2	yes
77fafc0b-45a6-4389-afd2-7ff33774270c	015rZEK3D158P1rEuifczUZg	8	yes
77fafc0b-45a6-4389-afd2-7ff33774270c	01HmrkeamF4gHagePjTV7zsj	5	no
8082fb79-13f0-4188-a5fa-8b4a689bedaf	01M79dQWiV8dhhBeH4U55Cxv	10	yes
8082fb79-13f0-4188-a5fa-8b4a689bedaf	0133n5R7YWKpiUprSEUzhGYM	2	no
81188c27-100f-4dde-8919-278e295fcad5	01Qw7uCvQbgDSekM9gr8mhHv	3	yes
81188c27-100f-4dde-8919-278e295fcad5	017JovegAjEB94s6dX1hHhBm	3	no
8f4c86d5-a2cf-4d2c-ad0a-eddcd74e9465	01SyxgdnsTvW7YoLQ3k4RK6a	15	yes
8f6f708e-97a2-47d4-b0e9-f695ed34296f	015Yjy1mSuhFX68Y7CjctysZ	2	yes
8f6f708e-97a2-47d4-b0e9-f695ed34296f	01TeuvfcEM7XYFKYjm4bhrzG	2	no
8f960800-f980-4eba-a294-6619ee41b059	013aTJrHMKqsyXpUw4jV7vyF	8	yes
916ab58e-75f7-46a4-8b64-f54b5ff537ac	01W2fDFsLknENRhbGMmDWQjN	4	yes
927cfa00-ee58-4953-92a6-bd77b5d13aeb	015rZEK3D158P1rEuifczUZg	3	yes
9667d9e3-2d50-4cd7-b3b5-4946b7a4eda8	016ereZDgQSaep4kFQWHxPqP	7	yes
9951b4ac-90d7-4a68-aaf2-d73d3b23dd07	01Pt1EBwC6UzCmM8VzdUJNVE	8	yes
9e275dc6-2ed6-4896-a4a7-3c5fe00e78ad	01M79dQWiV8dhhBeH4U55Cxv	4	yes
9ef6d2f5-ef1e-4cb6-acff-33a20ccb54b2	01GtfnRMqys5N5rHPSjWHcNc	16	yes
9fccc3d0-ad2c-45ad-a89b-18afbf6751c6	01VfmQNiaKkMZEhHJiUXFEe5	37	yes
9fccc3d0-ad2c-45ad-a89b-18afbf6751c6	01Vy8Ar1CfQxBbdWLYd75LaE	20	no
9fccc3d0-ad2c-45ad-a89b-18afbf6751c6	014WF6yZX6zM15eSdEXNyXat	2	no
9fccc3d0-ad2c-45ad-a89b-18afbf6751c6	016ereZDgQSaep4kFQWHxPqP	2	no
9fccc3d0-ad2c-45ad-a89b-18afbf6751c6	01FzVuaMW4F56HAiSJA5ri5x	2	no
9fccc3d0-ad2c-45ad-a89b-18afbf6751c6	0144s4uAokKvRKEKznumnEuQ	2	no
a0b48cae-8259-4dee-8634-6f7687b32ce4	0118KhKq94912PRjnCVNvD9p	8	yes
a2e0f9a4-8e6c-48fe-b341-dd6ac2cdd267	01M79dQWiV8dhhBeH4U55Cxv	11	yes
a2e0f9a4-8e6c-48fe-b341-dd6ac2cdd267	01DJR8CE3WTXLwTVaNtiVH7w	5	no
a2e0f9a4-8e6c-48fe-b341-dd6ac2cdd267	01QHkkE8cRNg2j1XcT9TTk6Y	5	no
ad2833ac-5e56-436e-b280-d2acbeea6597	0144s4uAokKvRKEKznumnEuQ	4	yes
b1c4caa7-7648-4d98-a812-a1d0b2598c75	01GtfnRMqys5N5rHPSjWHcNc	17	yes
b1c4caa7-7648-4d98-a812-a1d0b2598c75	01VfmQNiaKkMZEhHJiUXFEe5	9	no
b1c4caa7-7648-4d98-a812-a1d0b2598c75	01EcvjXkXhfd2WLGEYtG32Qb	4	no
b1c4caa7-7648-4d98-a812-a1d0b2598c75	01SyE2fe3x48uUGJqro24RL2	4	no
b1c4caa7-7648-4d98-a812-a1d0b2598c75	011hW4wSM3itJsaeuRjqBzJZ	4	no
b1c4caa7-7648-4d98-a812-a1d0b2598c75	014WF6yZX6zM15eSdEXNyXat	4	no
b1c4caa7-7648-4d98-a812-a1d0b2598c75	01W2fDFsLknENRhbGMmDWQjN	4	no
b1c4caa7-7648-4d98-a812-a1d0b2598c75	016C4N1CceCLqFh998H6VmnQ	4	no
b1c4caa7-7648-4d98-a812-a1d0b2598c75	015PErs1nSFzuHurQ9xWXbVx	4	no
b1c4caa7-7648-4d98-a812-a1d0b2598c75	01DPFMBoDvkDGSRwsqd16ETS	4	no
b20a558c-d7c6-46cf-bc4d-22f9113d4637	01Paq2qyfEPUzcVQzCaLYnzR	21	yes
b38bcd82-6b37-459d-95af-24926a723824	01W2fDFsLknENRhbGMmDWQjN	16	yes
