transcript	agent_name	start	end	requests	user_turns	cross_session_msgs_in	distinct_peers	peers	compaction_events	input_tokens	cache_read_tokens	cache_write_tokens	output_tokens	context_tokens
00069859-46f6-4e22-ab7f-0091fea1e81c	coder	2026-08-31T23:02:31.368Z	2026-09-02T11:18:01.366Z	1388	1439	31	4	?|optimize-adversarial-review-tokens|pinakes-development-overview|planner	14	2760	208852642	5174275	1422492	214029677
00d3d772-9d05-48ee-a820-722cddb47997		2026-08-22T00:52:41.980Z	2026-08-22T10:19:50.336Z	295	315	4	1	code-review-mutation-tests	0	586	118954869	2194678	390498	121150133
0a9bf364-6a47-464a-b28a-2da915c6bac9		2026-08-11T12:16:33.287Z	2026-08-11T13:16:19.869Z	115	133	0	0		0	229	15146542	176109	54841	15322880
0f2cc45d-3c75-4375-ba53-d2c98469b514	development-status-doc	2026-08-04T13:27:23.384Z	2026-08-05T08:03:24.955Z	161	187	0	0		0	299	39927911	594082	186781	40522292
1119f961-d8e4-4b3c-bf5d-27616983cf07	coder	2026-08-24T00:35:29.239Z	2026-08-25T01:11:25.950Z	175	194	8	2	pinakes-7c|pinakes-d1	0	342	51747171	790575	258637	52538088
12cd961c-4347-4a5e-ab32-7d2d91e98531	coder	2026-08-30T14:04:34.759Z	2026-08-31T21:34:54.030Z	220	237	6	2	optimize-adversarial-review-tokens|planner	0	440	57111432	1094874	213044	58206746
14cb7fa7-f5a2-4a67-bfa5-1ec5fb76d749	t4-identity-check-rebuild	2026-08-08T04:33:17.667Z	2026-08-08T06:13:14.862Z	212	229	0	0		0	461	53533091	422916	199904	53956468
157eb2ae-7610-4e4b-97d8-1a978aa5a121	planner	2026-08-25T18:25:15.500Z	2026-08-26T06:15:30.433Z	214	241	0	0		0	424	71423584	1258235	254848	72682243
1d4fa659-1d44-44b0-b322-05cacc17bcfc	coder	2026-08-26T06:16:35.149Z	2026-08-30T09:54:33.130Z	278	306	8	2	optimize-adversarial-review-tokens|planner	0	550	98872535	2844503	339870	101717588
1f0667a9-58d3-4bd5-8180-ec3dcf84f771	coder	2026-08-25T18:25:46.266Z	2026-08-26T05:35:32.812Z	287	316	7	2	optimize-adversarial-review-tokens|planner	0	560	100373858	1288377	316650	101662795
2191977c-ae94-4a94-989a-b26713bfbadc		2026-08-23T14:12:18.404Z	2026-08-24T02:52:04.529Z	268	293	8	1	pinakes-6d	0	528	86227461	1452195	292644	87680184
2264ef7c-48f5-4507-af17-acfbad097a0f		2026-08-23T15:07:36.826Z	2026-08-24T00:35:29.234Z	154	160	2	1	planner-queue-review	0	300	32514294	807133	193495	33321727
23445054-1f86-4947-b7fb-480c88fb40e0		2026-08-08T17:26:38.455Z	2026-08-11T12:16:33.258Z	490	549	0	0		0	971	173034716	1470041	300816	174505728
2701bd4b-5df3-4def-8652-da043d321828		2026-08-08T09:32:20.932Z	2026-08-08T17:27:09.722Z	129	158	0	0		0	257	20563418	214309	110806	20777984
30c6edb4-0990-42fe-ae25-f4e9f05c4452	planner	2026-09-01T07:00:17.310Z	2026-09-01T12:12:28.989Z	303	336	3	2	?|optimize-adversarial-review-tokens	3	602	44458633	931658	342489	45390893
3233f299-b102-4b7e-88a2-96de4f9e575d	coder	2026-08-25T09:50:48.625Z	2026-08-25T18:25:46.258Z	118	137	9	1	planner	0	234	24249900	833646	160523	25083780
