iso	sha	test_files	battery_files	tools_py
2026-07-25T08:57:14+02:00	5a53f4bc5f69	1	0	0
2026-07-25T14:00:57+02:00	1cd33d19220f	3	0	0
2026-07-25T14:15:21+02:00	71503e39ce32	5	0	0
2026-07-25T14:20:43+02:00	894f384e7a29	6	0	0
2026-07-25T14:24:46+02:00	0d0f46d9fa3e	7	0	0
2026-07-25T14:30:56+02:00	19c33a44de0b	8	0	0
2026-07-25T14:42:33+02:00	8291f542ecaf	9	0	0
2026-07-25T14:44:06+02:00	d039fa7b9584	10	0	0
2026-07-25T14:52:11+02:00	242fc1fe007b	12	0	0
2026-07-25T14:56:37+02:00	2d5e31bff63f	13	0	0
2026-07-25T15:02:26+02:00	873d2e2a66d1	15	0	0
2026-07-25T15:07:04+02:00	cf42c2441287	16	0	0
2026-07-25T15:09:36+02:00	9e8510a60a18	17	0	0
2026-07-25T15:13:50+02:00	0c8cd2defa4d	18	0	0
2026-07-25T15:25:25+02:00	2a120601b4c0	19	0	0
2026-07-27T21:56:27+02:00	4e31e1bf6351	21	0	0
2026-07-27T23:07:58+02:00	93002783a423	25	0	0
2026-07-28T00:19:09+02:00	ec99273fb52a	26	0	0
2026-07-28T02:23:04+02:00	5ee16756cf91	29	0	0
2026-07-28T09:58:35+02:00	e4c264e2502b	30	0	0
2026-07-28T14:03:50+02:00	e23710814204	31	0	0
2026-07-28T17:11:44+02:00	8efa044005ae	32	0	0
2026-07-28T19:22:49+02:00	fc59c7683b68	34	0	1
2026-07-28T23:20:21+02:00	50c10c83826b	37	0	1
2026-07-29T00:05:41+02:00	1635b451e47f	38	0	1
2026-07-29T00:18:51+02:00	8b7865f4be7c	37	0	1
2026-07-29T00:19:36+02:00	4a9f239e99f9	38	0	1
2026-07-29T01:05:16+02:00	d14f1e29d59e	37	0	1
2026-07-29T01:05:31+02:00	e1ac79f10fc2	38	0	1
2026-07-29T02:24:03+02:00	6ce1bd6647dd	39	0	1
2026-07-29T03:46:55+02:00	820728d9f29d	39	0	2
2026-07-29T04:07:07+02:00	f588f0346c7d	41	0	4
